NATIONALITY,EG_FGN_RESIDENT,ID_TYPE,CUSTOMER_SEGMENT,INDUSTRY,JOB_TITLE,INCOME_SOURCE,SEX,TITLE,AGE,CONTACT_DATE,ACCOUNT_SINCE,DATE_TIME_LOANS,LOAN_START_DATE,LOAN_END_DATE,CUSTOMER_TYPE,KYC_DATE,KYC_REMAINING_DAYS,KYC_YEARS_INT,KYC_RISK_RATE,KYC_RISK_CATEG,CUSTOMER_STATUS,CURRENCY,INTEREST_BASIS,LOAN_MONTHS,LOAN_AMOUNT,TOTAL_LOAN_AMOUNT,TOT_INTEREST_AMT,MONTHLY_PAYMENT,CONTRACT_TYPE,ISL&SME_REPAY_TYPE,HAS_CHRG,CHRG_CODE,INTEREST_RATE,LOAN_TYPE,LOAN_SUB_TYPE,POSTING_RESTRICT,TOTAL_MONTHLY_INCOME,JOINT_SEPARAT,MARITAL_STATUS,DTI,MONTHLY_PAYMENT_BURDEN,ANNUALIZED_PAYMENT_BURDEN,CUMULATIVE_INTEREST_PCT,EFFECTIVE_INTEREST_RATE,INTEREST_TO_INCOME_RATIO,INTEREST_COVERAGE,PAYMENT_TO_LOAN_RATIO,PRINCIPAL_SHARE_PER_MONTH,LOAN_TO_INCOME_EXPOSURE,TOTAL_COST_TO_INCOME_EXPOSURE,INTEREST_SHARE_TOTAL,PRINCIPAL_SHARE_TOTAL,PRINCIPAL_TO_INTEREST_RATIO,OVERDUE_STATUS
EG,EG,National ID,Mass,Professionals,Driver,Salary,M,,38,2022-08-21,2022-08-21,2023-07-02,2022-08-27,2037-08-01,Normal,2022-08-21,1090,5,LOW,Low Risk Customer,Non-Borrower,EGP,S,180,179841.0,290963.11510506767,111122.11510506769,1616.461750583709,AMORT,Demand,1,Stamp Duty,7.000000000000001,Mortgage Loan,Mort Loan-CBE low incom 7%,Post No Debits,10760.0,SEPARATE,MARRIED,27.041181701214462,0.1502287872289692,1.8027454467476312,0.6178908875343647,0.0411927258356243,0.6884889411714231,2.6184087193620957,0.0089882827085242,0.6180886533850137,0.0928547087980173,0.1502287872289692,0.3819113466149864,0.6180886533850136,1.618408719362096,PDO
EG,EG,National ID,Mass,Professionals,Freelancer,Private business,M,,45,2021-01-12,2021-01-12,2022-10-01,2021-01-19,2039-01-01,Normal,2021-01-12,503,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,216,122624.0,216000.2984834335,93376.2984834335,1000.0013818677476,AMORT,Demand,1,Stamp Duty,7.000000000000001,Mortgage Loan,Mort Loan-CBE low incom 7%,NO RESTRICTION,10760.0,,,20.07437718247523,0.0929369314003482,1.1152431768041795,0.7614846888328018,0.0423047049351556,0.4821163696996772,2.313224040699745,0.0081550217075592,0.5677029192133495,0.0527605672587085,0.0929369314003483,0.4322970807866506,0.5677029192133494,1.313224040699745,CUR
EG,EG,National ID,Mass,Governmental & Military Employees,Employee,Salary,M,,43,2020-12-06,2020-12-06,2022-06-27,2020-12-13,2040-12-01,Normal,2020-12-06,466,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,240,157651.0,293343.9659982024,135692.96599820233,1222.2665249925096,AMORT,Demand,1,Stamp Duty,7.000000000000001,Mortgage Loan,Mort Loan-CBE low incom 7%,NO RESTRICTION,10760.0,,,27.262450371580147,0.1135935432149172,1.363122518579007,0.8607174454852956,0.0430358722742647,0.6305435222964793,2.1618214609745405,0.0077529893561887,0.5374271104010577,0.0610482496902106,0.1135935432149172,0.4625728895989422,0.5374271104010576,1.16182146097454,CUR
EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Retired,Other,M,,54,2020-07-12,2020-07-12,2021-08-01,2020-09-30,2028-10-01,Normal,2020-07-12,319,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,96,20000.0,34455.17819528806,14455.178195288065,358.9081062009173,AMORT,Monthly,1,Statement Charge for LD,15.0,Personal Loan,Per Loan sal-Salary-tr-Group deals,NO RESTRICTION,10833.0,,,3.180575851129702,0.0331309984492677,0.3975719813912127,0.7227589097644033,0.0903448637205504,0.1667956498117795,2.3835872328795897,0.0179454053100458,0.5804642740966904,0.0192313609649527,0.0331309984492677,0.4195357259033097,0.5804642740966904,1.38358723287959,CUR
EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Others,Other,M,,29,2020-09-14,2020-09-14,2021-08-01,2020-11-03,2026-11-01,Normal,2020-09-14,383,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,72,227000.0,336780.20609988814,109780.20609988814,4677.502862498446,AMORT,Monthly,1,Admin Charge on LD Retail,14.000000000000002,Auto Loan,Auto Loan-install-tr-Group deals,NO RESTRICTION,,,,,,,0.4836132427307847,0.0806022071217974,,3.0677680254439905,0.020605739482372,0.6740301118904607,,,0.3259698881095393,0.6740301118904607,2.0677680254439905,CUR
SY,EG,Passport,Upper Privilege,"Others (Goodwife, Non Adult ...)",Employee,Equities or shares,M,,65,2009-10-28,2009-04-14,2023-08-01,2022-10-23,2028-10-22,Normal,2021-11-01,-299,2,HIGH,High-Low,Non-Borrower,EGP,B,72,5100000.0,9280882.666731209,4180882.666731207,128901.14814904451,AMORT,Demand,0,NO CHARGE,22.25,Personal Loan,Secured Personal Loans,KYC Update Needed,,JOINT,,,,,0.8197809150453348,0.1366301525075557,,2.2198381075323024,0.0252747349311852,0.5495166982642457,,,0.4504833017357543,0.5495166982642455,1.219838107532302,CUR
EG,EG,National ID,Thahabi,"Others (Goodwife, Non Adult ...)",Retired,Other,M,,54,2022-03-01,2022-03-01,2023-08-01,2022-12-18,2028-08-28,Normal,2022-03-01,917,5,LOW,Low Risk Customer,Non-Borrower,EGP,B,68,50000.0,87883.19614787603,37883.19614787604,1292.399943351118,AMORT,Demand,0,NO CHARGE,22.0,Personal Loan,Secured Personal Loans,NO RESTRICTION,,,MARRIED,,,,0.7576639229575208,0.1337053981689742,,2.319846398514696,0.0258479988670223,0.5689369776204755,,,0.4310630223795246,0.5689369776204755,1.319846398514696,CUR
EG,EG,National ID,Privilege,"Others (Goodwife, Non Adult ...)",House Wife,Other,F,,58,2022-09-04,2022-09-04,2023-08-01,2023-02-26,2024-04-07,Normal,2022-09-04,738,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,B,13,340000.0,389483.1188088958,49483.118808895815,29960.239908376603,AMORT,Demand,0,NO CHARGE,24.0,Personal Loan,Secured Personal Loans,NO RESTRICTION,,SEPARATE,DIVORCED,,,,0.1455385847320465,0.1343433089834275,,7.871030124699347,0.0881183526716958,0.8729518266151728,,,0.1270481733848271,0.8729518266151729,6.871030124699347,CUR
EG,EG,National ID,Privilege,Governmental & Military Employees,Employee,Salary,F,,52,2010-04-14,1979-01-01,2023-08-01,2022-06-21,2025-06-20,Normal,2020-02-23,-186,4,MEDIUM,Low Risk Customer,Low Risk,EGP,B,36,456500.0,619152.0566029736,162652.0566029736,17198.668238971488,AMORT,Demand,0,NO CHARGE,21.0,Personal Loan,Secured Personal Loans,ID Update Needed,,,,,,,0.3563024241028995,0.1187674747009664,,3.806604536912165,0.0376750673361916,0.7372986896056247,,,0.2627013103943753,0.7372986896056247,2.806604536912165,CUR
EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Retired,Other,M,,63,2019-01-19,2019-01-19,2021-09-01,2020-10-05,2026-06-01,Normal,2019-01-19,-220,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,68,160000.0,238459.594521306,78459.59452130593,3506.758742960382,AMORT,Monthly,1,Statement Charge for LD,15.0,Personal Loan,Per Loan sal-Salary-tr-Group deals,KYC Update Needed,,,,,,,0.490372465758162,0.0865363174867344,,3.0392662105404025,0.0219172421435023,0.670973211714089,,,0.329026788285911,0.6709732117140887,2.0392662105404016,PDO
EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,,54,2020-04-12,2020-04-12,2021-09-15,2020-04-19,2025-04-15,Normal,2020-04-12,228,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,60,300000.0,409555.3147960346,109555.3147960346,6825.921913267243,AMORT,Monthly,1,Admin Charge on LD Retail,13.0,Personal Loan,Per Loan-salaried-NO-sal-tr-non NBK,NO RESTRICTION,24360.0,,,16.812615549919318,0.280210259165322,3.3625231099838637,0.3651843826534486,0.0730368765306897,0.8994689227917454,3.738342731783731,0.0227530730442241,0.7325017870892605,0.2052545155993431,0.280210259165322,0.2674982129107395,0.7325017870892605,2.738342731783731,CUR
EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,F,,33,2020-10-13,2020-10-13,2021-09-01,2020-10-28,2040-10-01,Normal,2020-10-13,412,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,240,118664.0,220800.1749510671,102136.1749510671,920.0007289627796,AMORT,Monthly,1,Stamp Duty,7.000000000000001,Mortgage Loan,Mort Loan-CBE low incom 7%,NO RESTRICTION,10760.0,,,20.52046235604713,0.0855019264835297,1.0260231178023564,0.8607174454852955,0.0430358722742647,0.474610478397152,2.16182146097454,0.0077529893561887,0.5374271104010577,0.045951053283767,0.0855019264835297,0.4625728895989422,0.5374271104010577,1.16182146097454,CUR
EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,F,,37,2020-10-14,2020-10-14,2021-09-29,2020-11-16,2025-12-01,Normal,2020-10-14,413,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,60,245000.0,342043.2874859982,97043.28748599818,5700.72145809997,AMORT,Monthly,1,Stamp Duty,14.000000000000002,Auto Loan,AL-SALARIED DP > 50%,ID Update Needed,,,,,,,0.3960950509632578,0.0792190101926515,,3.524646540188054,0.0232682508493876,0.7162836078460662,,,0.2837163921539338,0.7162836078460662,2.524646540188054,CUR
EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,,41,2021-05-18,2021-05-18,2022-10-01,2021-05-30,2041-05-01,Normal,2021-05-18,629,5,LOW,Low Risk Customer,Non-Borrower,EGP,S,240,161992.0,301421.340429054,139429.340429054,1255.922251787725,AMORT,Demand,1,Stamp Duty,7.000000000000001,Mortgage Loan,Mort Loan-CBE low incom 7%,Dormant Accounts Debit Restriction,10760.0,,,28.01313572760725,0.1167213988650301,1.4006567863803625,0.8607174454852955,0.0430358722742647,0.6479058570123327,2.16182146097454,0.0077529893561887,0.5374271104010577,0.0627292441140024,0.1167213988650302,0.4625728895989422,0.5374271104010577,1.16182146097454,CUR
EG,EG,National ID,Privilege,Professionals,Freelancer,Private business,M,,59,2010-12-04,2010-12-04,2023-07-29,2021-03-23,2024-03-28,Normal,2019-02-27,-547,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,A,36,450000.0,561578.3217679464,111578.32176794636,15599.397826887398,AMORT,Demand,1,Statement Charge for LD,15.0,Personal Loan,Secured Personal Loans,KYC Update Needed,,,,,,,0.2479518261509919,0.0826506087169973,,5.033041480368221,0.0346653285041942,0.8013129826367258,,,0.1986870173632742,0.8013129826367258,4.033041480368221,PDO
EG,EG,National ID,Thahabi,Governmental & Military Employees,Employee,Salary,M,,43,2019-03-12,2019-03-12,2022-10-01,2019-05-11,2039-05-02,Normal,2019-03-12,-169,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,240,74975.0,118752.43571464556,43777.43571464557,494.8018154776899,AMORT,Monthly,1,Stamp Duty,5.0,Mortgage Loan,Mort Loan-CBE low incom 5%,ID Update Needed,10760.0,,,11.036471720691967,0.0459852988362165,0.5518235860345985,0.583893774119981,0.029194688705999,0.2034267458858995,2.712640285481988,0.0065995573921665,0.6313554711430094,0.0290330700123915,0.0459852988362165,0.3686445288569905,0.6313554711430095,1.7126402854819889,CUR
EG,EG,National ID,Privilege,Professionals,Freelancer,Private business,M,,59,2021-02-20,2021-02-20,2023-07-26,2021-02-28,2025-02-27,Normal,2021-02-20,177,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,A,48,450000.0,579473.9113053252,129473.91130532522,12072.373152194275,AMORT,Demand,0,NO CHARGE,13.0,Personal Loan,Secured Personal Loans,NO RESTRICTION,,,,,,,0.2877198029007227,0.0719299507251806,,4.475603659943589,0.026827495893765,0.776566453158052,,,0.223433546841948,0.776566453158052,3.475603659943589,PDO
EG,EG,National ID,Privilege,Professionals,Freelancer,Private business,M,,46,2016-09-18,2016-09-18,2023-07-29,2022-09-27,2025-09-28,Normal,2021-10-16,415,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,B,36,470000.0,646182.4677736132,176182.46777361317,17949.512993711476,AMORT,Demand,1,Statement Charge for LD,22.0,Personal Loan,Secured Personal Loans,Dormant Accounts Debit Restriction,,,,,,,0.3748563144119429,0.1249521048039809,,3.6676888224992377,0.0381904531781095,0.7273487342040703,,,0.2726512657959297,0.7273487342040703,2.6676888224992377,PDO
EG,EG,National ID,Privilege,Professionals,Freelancer,Private business,M,,54,2019-07-22,2019-07-22,2023-07-26,2020-04-21,2030-04-20,Normal,2019-07-22,-402,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,A,120,540000.0,948517.5730010896,408517.5730010896,7904.313108342413,AMORT,Quarterly,0,NO CHARGE,12.5,Personal Loan,Secured Personal Loans,KYC Update Needed,,,,,,,0.7565140240760919,0.0756514024076091,,2.3218525607919434,0.0146376168673007,0.5693094312332574,,,0.4306905687667426,0.5693094312332574,1.3218525607919434,PDO
EG,EG,National ID,Thahabi,Governmental & Military Employees,Engineer,Salary,M,,58,2011-12-04,2011-12-04,2021-11-15,2021-01-19,2026-02-15,Normal,2021-10-16,780,5,LOW,Low Risk Customer,Marginally,EGP,A,61,159000.0,226919.5786815958,67919.5786815958,3719.993093140915,AMORT,Demand,1,Admin Charge on LD Retail,14.75,Personal Loan,Per-Loan sal-inst-tr Group deals,ID Update Needed,,JOINT,,,,,0.4271671615194704,0.0840328842333384,,3.341003920907482,0.023396182975729,0.7006887679053125,,,0.2993112320946874,0.7006887679053126,2.341003920907482,CUR
EG,EG,National ID,Privilege,Professionals,Businessman,Private business,M,,37,2022-06-18,2022-06-18,2022-10-31,2022-06-25,2025-06-25,Normal,2022-06-18,660,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,B,36,900000.0,1220672.1816926096,320672.1816926096,33907.560602572485,AMORT,Demand,0,NO CHARGE,21.0,Personal Loan,Secured Personal Loans,NO RESTRICTION,,,MARRIED,,,,0.3563024241028996,0.1187674747009665,,3.806604536912164,0.0376750673361916,0.7372986896056247,,,0.2627013103943754,0.7372986896056246,2.806604536912164,CUR
EG,EG,National ID,Thahabi,"Others (Goodwife, Non Adult ...)",House Wife,Other,F,,61,2018-05-22,2018-05-22,2022-10-31,2018-11-14,2024-04-29,Normal,2024-02-18,1635,5,LOW,Low Risk Customer,Non-Borrower,EGP,B,60,1350000.0,2271808.7857924234,921808.7857924234,37863.479763207055,AMORT,Monthly,0,NO CHARGE,22.75,Personal Loan,Secured Personal loan VAR-CD,NO RESTRICTION,50000.0,SEPARATE,MARRIED,45.43617571584847,0.7572695952641411,9.087235143169693,0.6828213228092025,0.1365642645618405,3.6872351431696937,2.4645119690842243,0.02804702204682,0.594240152799264,0.45,0.7572695952641412,0.405759847200736,0.5942401527992639,1.4645119690842243,PDO
EG,EG,National ID,Thahabi,"Others (Goodwife, Non Adult ...)",Others,Other,F,,37,2016-05-24,2016-05-24,2022-10-31,2021-10-10,2024-10-01,Normal,2021-10-12,776,5,LOW,Low Risk Customer,Non-Borrower,EGP,B,36,100000.0,122167.03439153168,22167.03439153168,3393.5287330981023,AMORT,Demand,0,NO CHARGE,13.5,Personal Loan,Secured Personal Loans,NO RESTRICTION,6000.0,,,20.361172398588614,0.565588122183017,6.787057466196204,0.2216703439153168,0.0738901146384389,1.2315019106406488,5.511203358722731,0.033935287330981,0.8185514242697517,0.4629629629629629,0.565588122183017,0.1814485757302482,0.8185514242697518,4.511203358722731,PDO
EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,,34,2021-02-06,2021-02-06,2021-08-04,2021-02-07,2027-02-05,Normal,2021-02-06,163,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,A,72,120000.0,173440.26898368198,53440.26898368198,2408.8926247733607,AMORT,Demand,1,Admin Charge on LD Retail,13.0,Personal Loan,Per Loan sal-Salary-tr-Group deals,NO RESTRICTION,,,,,,,0.4453355748640165,0.0742225958106694,,3.2454976795989197,0.0200741052064446,0.6918808457987927,,,0.3081191542012073,0.6918808457987927,2.2454976795989197,CUR
EG,EG,National ID,Thahabi,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,,48,2012-05-13,2012-05-13,2023-08-01,2021-09-27,2024-09-27,Normal,2022-11-22,1183,5,LOW,Low Risk Customer,Non-Borrower,EGP,B,36,130000.0,158817.1447089912,28817.1447089912,4411.587353027533,AMORT,Demand,0,NO CHARGE,13.5,Personal Loan,Secured Personal Loans,Post No Debits,,,,,,,0.2216703439153169,0.0738901146384389,,5.511203358722728,0.033935287330981,0.8185514242697518,,,0.1814485757302483,0.8185514242697517,4.511203358722728,PDO
EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Retired,Other,M,,56,2015-05-09,2015-05-09,2023-08-01,2022-05-29,2025-01-10,Normal,2020-03-02,187,5,LOW,Low Risk Customer,Low Risk,EGP,B,32,26000.0,33134.4555286797,7134.455528679697,1035.4517352712403,AMORT,Demand,0,NO CHARGE,18.5,Personal Loan,Secured Personal Loans,ID Update Needed,,,,,,,0.2744021357184498,0.1029008008944187,,4.644286504482784,0.0398250667412015,0.7846816730546718,,,0.2153183269453283,0.7846816730546716,3.6442865044827832,PDO
EG,EG,National ID,Privilege,Professionals,Businessman,Private business,M,,47,2021-12-05,2021-12-05,2023-08-01,2023-04-05,2026-04-04,Normal,2021-12-05,465,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,B,36,60000.0,89345.34936769657,29345.349367696577,2481.815260213794,AMORT,Demand,0,NO CHARGE,28.000000000000004,Personal Loan,Secured Personal Loans,NO RESTRICTION,,,,,,,0.4890891561282762,0.1630297187094254,,3.0446169935890466,0.0413635876702299,0.671551462103224,,,0.3284485378967759,0.671551462103224,2.0446169935890466,PDO
EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,,29,2020-12-19,2020-12-19,2021-09-01,2020-12-23,2040-12-01,Normal,2020-12-19,479,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,240,184954.0,344147.1344122874,159193.1344122874,1433.946393384531,AMORT,Demand,1,Stamp Duty,7.000000000000001,Mortgage Loan,Mort Loan-CBE low incom 7%,NO RESTRICTION,10760.0,,,31.98393442493377,0.133266393437224,1.5991967212466889,0.8607174454852958,0.0430358722742647,0.7397450483842352,2.161821460974539,0.0077529893561887,0.5374271104010576,0.0716209727385377,0.133266393437224,0.4625728895989424,0.5374271104010576,1.1618214609745394,CUR
EG,EG,National ID,Thahabi,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,,38,2019-04-22,2019-04-22,2022-06-27,2019-04-27,2024-05-01,Normal,2022-03-13,929,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,60,200000.0,273036.8765306897,73036.87653068971,4550.614608844829,AMORT,Monthly,1,Admin Charge on LD Retail,13.0,Personal Loan,PL-MEDICAL DOCTORS,NO RESTRICTION,,,,,,,0.3651843826534485,0.0730368765306897,,3.738342731783732,0.0227530730442241,0.7325017870892606,,,0.2674982129107394,0.7325017870892606,2.738342731783732,CUR
EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,,34,2021-06-07,2021-06-07,2022-06-27,2021-06-16,2050-12-01,Normal,2021-06-07,649,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,353,730583.0,1100619.616347768,370036.6163477681,3117.902595886029,AMORT,Demand,1,Admin Charge on LD Retail,3.0,Mortgage Loan,Mortgage Loan Middle Income3%,ID Update Needed,44500.0,,,24.7330250864667,0.0700652268738433,0.8407827224861201,0.5064949722998867,0.0172179593982964,0.2826774928333843,2.974353260525393,0.0042676911396597,0.6637924575834147,0.0465087691377279,0.0700652268738433,0.3362075424165853,0.6637924575834147,1.9743532605253933,CUR
